group,attribute,fpr,fnr,precision,recall,support
Female|Amer-Indian-Eskimo,_inter,0.030303030303030304,0.5,0.75,0.5,39
Female|Asian-Pac-Islander,_inter,0.052083333333333336,0.5625,0.5833333333333334,0.4375,112
Female|Black,_inter,0.009324009324009324,0.5,0.7894736842105263,0.5,459
Female|Other,_inter,0.0,0.5,1.0,0.5,34
Female|White,_inter,0.016038144776766364,0.44376899696048633,0.8318181818181818,0.5562310030395137,2636
Male|Amer-Indian-Eskimo,_inter,0.0,0.2,1.0,0.8,63
Male|Asian-Pac-Islander,_inter,0.17054263565891473,0.2222222222222222,0.6901408450704225,0.7777777777777778,192
Male|Black,_inter,0.024793388429752067,0.5058823529411764,0.8235294117647058,0.49411764705882355,448
Male|Other,_inter,0.0,0.42857142857142855,1.0,0.5714285714285714,47
Male|White,_inter,0.09102434077079108,0.3091112353269983,0.7749216300940439,0.6908887646730016,5733
